employee_id,directorate,role,grade,tgv_name,tv_name,baseline_score,user_score,tv_match_rate,tgv_match_rate,final_match_rate
EMP100015,HR & Corp Affairs,Finance Officer,V,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100015,HR & Corp Affairs,Finance Officer,V,Leadership,tiki,6.000,7.000,116.67,116.67,38.89
EMP100015,HR & Corp Affairs,Finance Officer,V,Personality,disc_word,null,null,0.00,0.00,38.89
EMP100016,HR & Corp Affairs,Supply Planner,IV,Cognitive Ability,iq,109.000,97.000,88.99,88.99,57.44
EMP100016,HR & Corp Affairs,Supply Planner,IV,Leadership,tiki,6.000,5.000,83.33,83.33,57.44
EMP100016,HR & Corp Affairs,Supply Planner,IV,Personality,disc_word,null,null,0.00,0.00,57.44
EMP100017,HR & Corp Affairs,HRBP,V,Cognitive Ability,iq,109.000,107.000,98.17,98.17,38.28
EMP100017,HR & Corp Affairs,HRBP,V,Leadership,tiki,6.000,1.000,16.67,16.67,38.28
EMP100017,HR & Corp Affairs,HRBP,V,Personality,disc_word,null,null,0.00,0.00,38.28
EMP100018,Technology,Sales Supervisor,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,16.67
EMP100018,Technology,Sales Supervisor,IV,Leadership,tiki,6.000,3.000,50.00,50.00,16.67
EMP100018,Technology,Sales Supervisor,IV,Personality,disc_word,null,null,0.00,0.00,16.67
EMP100019,HR & Corp Affairs,HRBP,III,Cognitive Ability,iq,109.000,125.000,114.68,114.68,93.78
EMP100019,HR & Corp Affairs,HRBP,III,Leadership,tiki,6.000,10.000,166.67,166.67,93.78
EMP100019,HR & Corp Affairs,HRBP,III,Personality,disc_word,null,null,0.00,0.00,93.78
EMP100020,Commercial,Brand Executive,IV,Cognitive Ability,iq,109.000,132.000,121.10,121.10,45.92
EMP100020,Commercial,Brand Executive,IV,Leadership,tiki,6.000,1.000,16.67,16.67,45.92
EMP100020,Commercial,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,45.92
EMP100023,HR & Corp Affairs,Finance Officer,IV,Cognitive Ability,iq,109.000,139.000,127.52,127.52,70.29
EMP100023,HR & Corp Affairs,Finance Officer,IV,Leadership,tiki,6.000,5.000,83.33,83.33,70.29
EMP100023,HR & Corp Affairs,Finance Officer,IV,Personality,disc_word,null,null,0.00,0.00,70.29
EMP100025,Technology,Brand Executive,V,Cognitive Ability,iq,109.000,null,0.00,0.00,44.44
EMP100025,Technology,Brand Executive,V,Leadership,tiki,6.000,8.000,133.33,133.33,44.44
EMP100025,Technology,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,44.44
EMP100027,Commercial,Data Analyst,V,Cognitive Ability,iq,109.000,97.000,88.99,88.99,79.66
EMP100027,Commercial,Data Analyst,V,Leadership,tiki,6.000,9.000,150.00,150.00,79.66
EMP100027,Commercial,Data Analyst,V,Personality,disc_word,null,null,0.00,0.00,79.66
EMP100028,Commercial,Finance Officer,IV,Cognitive Ability,iq,109.000,107.000,98.17,98.17,49.39
EMP100028,Commercial,Finance Officer,IV,Leadership,tiki,6.000,3.000,50.00,50.00,49.39
EMP100028,Commercial,Finance Officer,IV,Personality,disc_word,null,null,0.00,0.00,49.39
EMP100029,Commercial,Sales Supervisor,III,Cognitive Ability,iq,109.000,105.000,96.33,96.33,87.67
EMP100029,Commercial,Sales Supervisor,III,Leadership,tiki,6.000,10.000,166.67,166.67,87.67
EMP100029,Commercial,Sales Supervisor,III,Personality,disc_word,null,null,0.00,0.00,87.67
EMP100030,HR & Corp Affairs,Sales Supervisor,V,Cognitive Ability,iq,109.000,110.000,100.92,100.92,55.86
EMP100030,HR & Corp Affairs,Sales Supervisor,V,Leadership,tiki,6.000,4.000,66.67,66.67,55.86
EMP100030,HR & Corp Affairs,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,55.86
EMP100033,Technology,Sales Supervisor,IV,Cognitive Ability,iq,109.000,117.000,107.34,107.34,69.11
EMP100033,Technology,Sales Supervisor,IV,Leadership,tiki,6.000,6.000,100.00,100.00,69.11
EMP100033,Technology,Sales Supervisor,IV,Personality,disc_word,null,null,0.00,0.00,69.11
EMP100035,Technology,Brand Executive,V,Cognitive Ability,iq,109.000,103.000,94.50,94.50,70.39
EMP100035,Technology,Brand Executive,V,Leadership,tiki,6.000,7.000,116.67,116.67,70.39
EMP100035,Technology,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,70.39
EMP100036,Technology,Brand Executive,V,Cognitive Ability,iq,109.000,120.000,110.09,110.09,53.36
EMP100036,Technology,Brand Executive,V,Leadership,tiki,6.000,3.000,50.00,50.00,53.36
EMP100036,Technology,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,53.36
EMP100037,Commercial,Supply Planner,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100037,Commercial,Supply Planner,IV,Leadership,tiki,6.000,1.000,16.67,16.67,38.89
EMP100037,Commercial,Supply Planner,IV,Personality,disc_word,null,null,100.00,100.00,38.89
EMP100038,HR & Corp Affairs,Supply Planner,V,Cognitive Ability,iq,109.000,93.000,85.32,85.32,39.55
EMP100038,HR & Corp Affairs,Supply Planner,V,Leadership,tiki,6.000,2.000,33.33,33.33,39.55
EMP100038,HR & Corp Affairs,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,39.55
EMP100040,Technology,HRBP,IV,Cognitive Ability,iq,109.000,112.000,102.75,102.75,89.81
EMP100040,Technology,HRBP,IV,Leadership,tiki,6.000,10.000,166.67,166.67,89.81
EMP100040,Technology,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,89.81
EMP100042,HR & Corp Affairs,Supply Planner,III,Cognitive Ability,iq,109.000,139.000,127.52,127.52,48.06
EMP100042,HR & Corp Affairs,Supply Planner,III,Leadership,tiki,6.000,1.000,16.67,16.67,48.06
EMP100042,HR & Corp Affairs,Supply Planner,III,Personality,disc_word,null,null,0.00,0.00,48.06
EMP100044,HR & Corp Affairs,Sales Supervisor,III,Cognitive Ability,iq,109.000,82.000,75.23,75.23,52.85
EMP100044,HR & Corp Affairs,Sales Supervisor,III,Leadership,tiki,6.000,5.000,83.33,83.33,52.85
EMP100044,HR & Corp Affairs,Sales Supervisor,III,Personality,disc_word,null,null,0.00,0.00,52.85
EMP100046,Commercial,Brand Executive,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,33.33
EMP100046,Commercial,Brand Executive,IV,Leadership,tiki,6.000,6.000,100.00,100.00,33.33
EMP100046,Commercial,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,33.33
EMP100047,Commercial,Data Analyst,III,Cognitive Ability,iq,109.000,110.000,100.92,100.92,39.19
EMP100047,Commercial,Data Analyst,III,Leadership,tiki,6.000,1.000,16.67,16.67,39.19
EMP100047,Commercial,Data Analyst,III,Personality,disc_word,null,null,0.00,0.00,39.19
EMP100048,Technology,HRBP,III,Cognitive Ability,iq,109.000,125.000,114.68,114.68,43.78
EMP100048,Technology,HRBP,III,Leadership,tiki,6.000,1.000,16.67,16.67,43.78
EMP100048,Technology,HRBP,III,Personality,disc_word,null,null,0.00,0.00,43.78
EMP100057,Technology,Supply Planner,V,Cognitive Ability,iq,109.000,123.000,112.84,112.84,87.61
EMP100057,Technology,Supply Planner,V,Leadership,tiki,6.000,9.000,150.00,150.00,87.61
EMP100057,Technology,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,87.61
EMP100061,Commercial,Supply Planner,V,Cognitive Ability,iq,109.000,null,0.00,0.00,33.33
EMP100061,Commercial,Supply Planner,V,Leadership,tiki,6.000,6.000,100.00,100.00,33.33
EMP100061,Commercial,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,33.33
EMP100062,HR & Corp Affairs,HRBP,IV,Cognitive Ability,iq,109.000,89.000,81.65,81.65,71.66
EMP100062,HR & Corp Affairs,HRBP,IV,Leadership,tiki,6.000,8.000,133.33,133.33,71.66
EMP100062,HR & Corp Affairs,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,71.66
EMP100064,Technology,Supply Planner,V,Cognitive Ability,iq,109.000,96.000,88.07,88.07,51.58
EMP100064,Technology,Supply Planner,V,Leadership,tiki,6.000,4.000,66.67,66.67,51.58
EMP100064,Technology,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,51.58
EMP100065,HR & Corp Affairs,Brand Executive,IV,Cognitive Ability,iq,109.000,90.000,82.57,82.57,83.08
EMP100065,HR & Corp Affairs,Brand Executive,IV,Leadership,tiki,6.000,10.000,166.67,166.67,83.08
EMP100065,HR & Corp Affairs,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,83.08
EMP100066,Commercial,Finance Officer,III,Cognitive Ability,iq,109.000,84.000,77.06,77.06,81.24
EMP100066,Commercial,Finance Officer,III,Leadership,tiki,6.000,10.000,166.67,166.67,81.24
EMP100066,Commercial,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,81.24
EMP100067,Commercial,Finance Officer,V,Cognitive Ability,iq,109.000,101.000,92.66,92.66,64.22
EMP100067,Commercial,Finance Officer,V,Leadership,tiki,6.000,6.000,100.00,100.00,64.22
EMP100067,Commercial,Finance Officer,V,Personality,disc_word,null,null,0.00,0.00,64.22
EMP100068,HR & Corp Affairs,Finance Officer,III,Cognitive Ability,iq,109.000,null,0.00,0.00,27.78
EMP100068,HR & Corp Affairs,Finance Officer,III,Leadership,tiki,6.000,5.000,83.33,83.33,27.78
EMP100068,HR & Corp Affairs,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,27.78
EMP100069,Technology,HRBP,III,Cognitive Ability,iq,109.000,93.000,85.32,85.32,84.00
EMP100069,Technology,HRBP,III,Leadership,tiki,6.000,10.000,166.67,166.67,84.00
EMP100069,Technology,HRBP,III,Personality,disc_word,null,null,0.00,0.00,84.00
EMP100070,Technology,Supply Planner,III,Cognitive Ability,iq,109.000,137.000,125.69,125.69,53.01
EMP100070,Technology,Supply Planner,III,Leadership,tiki,6.000,2.000,33.33,33.33,53.01
EMP100070,Technology,Supply Planner,III,Personality,disc_word,null,null,0.00,0.00,53.01
EMP100073,Commercial,Finance Officer,V,Cognitive Ability,iq,109.000,104.000,95.41,95.41,81.80
EMP100073,Commercial,Finance Officer,V,Leadership,tiki,6.000,9.000,150.00,150.00,81.80
EMP100073,Commercial,Finance Officer,V,Personality,disc_word,null,null,0.00,0.00,81.80
EMP100076,HR & Corp Affairs,Supply Planner,III,Cognitive Ability,iq,109.000,80.000,73.39,73.39,46.69
EMP100076,HR & Corp Affairs,Supply Planner,III,Leadership,tiki,6.000,4.000,66.67,66.67,46.69
EMP100076,HR & Corp Affairs,Supply Planner,III,Personality,disc_word,null,null,0.00,0.00,46.69
EMP100077,Technology,Finance Officer,III,Cognitive Ability,iq,109.000,135.000,123.85,123.85,46.84
EMP100077,Technology,Finance Officer,III,Leadership,tiki,6.000,1.000,16.67,16.67,46.84
EMP100077,Technology,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,46.84
EMP100081,Technology,Supply Planner,V,Cognitive Ability,iq,109.000,138.000,126.61,126.61,81.09
EMP100081,Technology,Supply Planner,V,Leadership,tiki,6.000,7.000,116.67,116.67,81.09
EMP100081,Technology,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,81.09
EMP100082,Technology,Brand Executive,V,Cognitive Ability,iq,109.000,133.000,122.02,122.02,74.01
EMP100082,Technology,Brand Executive,V,Leadership,tiki,6.000,6.000,100.00,100.00,74.01
EMP100082,Technology,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,74.01
EMP100084,Technology,Supply Planner,IV,Cognitive Ability,iq,109.000,118.000,108.26,108.26,63.86
EMP100084,Technology,Supply Planner,IV,Leadership,tiki,6.000,5.000,83.33,83.33,63.86
EMP100084,Technology,Supply Planner,IV,Personality,disc_word,null,null,0.00,0.00,63.86
EMP100085,HR & Corp Affairs,Data Analyst,V,Cognitive Ability,iq,109.000,null,0.00,0.00,44.44
EMP100085,HR & Corp Affairs,Data Analyst,V,Leadership,tiki,6.000,8.000,133.33,133.33,44.44
EMP100085,HR & Corp Affairs,Data Analyst,V,Personality,disc_word,null,null,0.00,0.00,44.44
EMP100086,Commercial,HRBP,V,Cognitive Ability,iq,109.000,110.000,100.92,100.92,50.31
EMP100086,Commercial,HRBP,V,Leadership,tiki,6.000,3.000,50.00,50.00,50.31
EMP100086,Commercial,HRBP,V,Personality,disc_word,null,null,0.00,0.00,50.31
EMP100087,HR & Corp Affairs,Brand Executive,V,Cognitive Ability,iq,109.000,109.000,100.00,100.00,44.44
EMP100087,HR & Corp Affairs,Brand Executive,V,Leadership,tiki,6.000,2.000,33.33,33.33,44.44
EMP100087,HR & Corp Affairs,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,44.44
EMP100088,Commercial,Finance Officer,III,Cognitive Ability,iq,109.000,83.000,76.15,76.15,53.16
EMP100088,Commercial,Finance Officer,III,Leadership,tiki,6.000,5.000,83.33,83.33,53.16
EMP100088,Commercial,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,53.16
EMP100089,Technology,Sales Supervisor,V,Cognitive Ability,iq,109.000,null,0.00,0.00,55.56
EMP100089,Technology,Sales Supervisor,V,Leadership,tiki,6.000,10.000,166.67,166.67,55.56
EMP100089,Technology,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,55.56
EMP100090,HR & Corp Affairs,Supply Planner,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,5.56
EMP100090,HR & Corp Affairs,Supply Planner,IV,Leadership,tiki,6.000,1.000,16.67,16.67,5.56
EMP100090,HR & Corp Affairs,Supply Planner,IV,Personality,disc_word,null,null,0.00,0.00,5.56
EMP100092,Technology,Data Analyst,V,Cognitive Ability,iq,109.000,null,0.00,0.00,5.56
EMP100092,Technology,Data Analyst,V,Leadership,tiki,6.000,1.000,16.67,16.67,5.56
EMP100092,Technology,Data Analyst,V,Personality,disc_word,null,null,0.00,0.00,5.56
EMP100094,Technology,Brand Executive,III,Cognitive Ability,iq,109.000,95.000,87.16,87.16,62.39
EMP100094,Technology,Brand Executive,III,Leadership,tiki,6.000,6.000,100.00,100.00,62.39
EMP100094,Technology,Brand Executive,III,Personality,disc_word,null,null,0.00,0.00,62.39
EMP100095,HR & Corp Affairs,Finance Officer,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,27.78
EMP100095,HR & Corp Affairs,Finance Officer,IV,Leadership,tiki,6.000,5.000,83.33,83.33,27.78
EMP100095,HR & Corp Affairs,Finance Officer,IV,Personality,disc_word,null,null,0.00,0.00,27.78
EMP100096,Commercial,Data Analyst,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100096,Commercial,Data Analyst,IV,Leadership,tiki,6.000,7.000,116.67,116.67,38.89
EMP100096,Commercial,Data Analyst,IV,Personality,disc_word,null,null,0.00,0.00,38.89
EMP100099,HR & Corp Affairs,HRBP,III,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100099,HR & Corp Affairs,HRBP,III,Leadership,tiki,6.000,7.000,116.67,116.67,38.89
EMP100099,HR & Corp Affairs,HRBP,III,Personality,disc_word,null,null,0.00,0.00,38.89
EMP100100,Commercial,Brand Executive,IV,Cognitive Ability,iq,109.000,null,0.00,0.00,33.33
EMP100100,Commercial,Brand Executive,IV,Leadership,tiki,6.000,6.000,100.00,100.00,33.33
EMP100100,Commercial,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,33.33
EMP100102,Technology,Finance Officer,III,Cognitive Ability,iq,109.000,111.000,101.83,101.83,61.72
EMP100102,Technology,Finance Officer,III,Leadership,tiki,6.000,5.000,83.33,83.33,61.72
EMP100102,Technology,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,61.72
EMP100106,Technology,Brand Executive,V,Cognitive Ability,iq,109.000,102.000,93.58,93.58,53.41
EMP100106,Technology,Brand Executive,V,Leadership,tiki,6.000,4.000,66.67,66.67,53.41
EMP100106,Technology,Brand Executive,V,Personality,disc_word,null,null,0.00,0.00,53.41
EMP100107,Commercial,HRBP,IV,Cognitive Ability,iq,109.000,104.000,95.41,95.41,115.14
EMP100107,Commercial,HRBP,IV,Leadership,tiki,6.000,9.000,150.00,150.00,115.14
EMP100107,Commercial,HRBP,IV,Personality,disc_word,null,null,100.00,100.00,115.14
EMP100110,HR & Corp Affairs,Sales Supervisor,V,Cognitive Ability,iq,109.000,97.000,88.99,88.99,57.44
EMP100110,HR & Corp Affairs,Sales Supervisor,V,Leadership,tiki,6.000,5.000,83.33,83.33,57.44
EMP100110,HR & Corp Affairs,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,57.44
EMP100111,Commercial,Finance Officer,V,Cognitive Ability,iq,109.000,83.000,76.15,76.15,69.83
EMP100111,Commercial,Finance Officer,V,Leadership,tiki,6.000,8.000,133.33,133.33,69.83
EMP100111,Commercial,Finance Officer,V,Personality,disc_word,null,null,0.00,0.00,69.83
EMP100112,Technology,Finance Officer,III,Cognitive Ability,iq,109.000,132.000,121.10,121.10,79.26
EMP100112,Technology,Finance Officer,III,Leadership,tiki,6.000,7.000,116.67,116.67,79.26
EMP100112,Technology,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,79.26
EMP100113,Commercial,Brand Executive,IV,Cognitive Ability,iq,109.000,117.000,107.34,107.34,91.34
EMP100113,Commercial,Brand Executive,IV,Leadership,tiki,6.000,10.000,166.67,166.67,91.34
EMP100113,Commercial,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,91.34
EMP100116,HR & Corp Affairs,Supply Planner,V,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100116,HR & Corp Affairs,Supply Planner,V,Leadership,tiki,6.000,7.000,116.67,116.67,38.89
EMP100116,HR & Corp Affairs,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,38.89
EMP100117,HR & Corp Affairs,HRBP,IV,Cognitive Ability,iq,109.000,86.000,78.90,78.90,54.08
EMP100117,HR & Corp Affairs,HRBP,IV,Leadership,tiki,6.000,5.000,83.33,83.33,54.08
EMP100117,HR & Corp Affairs,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,54.08
EMP100118,Technology,HRBP,V,Cognitive Ability,iq,109.000,null,0.00,0.00,11.11
EMP100118,Technology,HRBP,V,Leadership,tiki,6.000,2.000,33.33,33.33,11.11
EMP100118,Technology,HRBP,V,Personality,disc_word,null,null,0.00,0.00,11.11
EMP100122,Technology,Supply Planner,V,Cognitive Ability,iq,109.000,null,0.00,0.00,11.11
EMP100122,Technology,Supply Planner,V,Leadership,tiki,6.000,2.000,33.33,33.33,11.11
EMP100122,Technology,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,11.11
EMP100123,Commercial,Sales Supervisor,IV,Cognitive Ability,iq,109.000,107.000,98.17,98.17,77.17
EMP100123,Commercial,Sales Supervisor,IV,Leadership,tiki,6.000,8.000,133.33,133.33,77.17
EMP100123,Commercial,Sales Supervisor,IV,Personality,disc_word,null,null,0.00,0.00,77.17
EMP100124,HR & Corp Affairs,Data Analyst,III,Cognitive Ability,iq,109.000,null,0.00,0.00,44.44
EMP100124,HR & Corp Affairs,Data Analyst,III,Leadership,tiki,6.000,8.000,133.33,133.33,44.44
EMP100124,HR & Corp Affairs,Data Analyst,III,Personality,disc_word,null,null,0.00,0.00,44.44
EMP100125,HR & Corp Affairs,Sales Supervisor,V,Cognitive Ability,iq,109.000,null,0.00,0.00,33.33
EMP100125,HR & Corp Affairs,Sales Supervisor,V,Leadership,tiki,6.000,6.000,100.00,100.00,33.33
EMP100125,HR & Corp Affairs,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,33.33
EMP100126,Technology,Sales Supervisor,V,Cognitive Ability,iq,109.000,120.000,110.09,110.09,42.25
EMP100126,Technology,Sales Supervisor,V,Leadership,tiki,6.000,1.000,16.67,16.67,42.25
EMP100126,Technology,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,42.25
EMP100127,Commercial,Supply Planner,V,Cognitive Ability,iq,109.000,null,0.00,0.00,38.89
EMP100127,Commercial,Supply Planner,V,Leadership,tiki,6.000,1.000,16.67,16.67,38.89
EMP100127,Commercial,Supply Planner,V,Personality,disc_word,null,null,100.00,100.00,38.89
EMP100128,HR & Corp Affairs,HRBP,IV,Cognitive Ability,iq,109.000,117.000,107.34,107.34,52.45
EMP100128,HR & Corp Affairs,HRBP,IV,Leadership,tiki,6.000,3.000,50.00,50.00,52.45
EMP100128,HR & Corp Affairs,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,52.45
EMP100129,Commercial,Data Analyst,IV,Cognitive Ability,iq,109.000,109.000,100.00,100.00,50.00
EMP100129,Commercial,Data Analyst,IV,Leadership,tiki,6.000,3.000,50.00,50.00,50.00
EMP100129,Commercial,Data Analyst,IV,Personality,disc_word,null,null,0.00,0.00,50.00
EMP100130,Technology,Brand Executive,III,Cognitive Ability,iq,109.000,84.000,77.06,77.06,75.69
EMP100130,Technology,Brand Executive,III,Leadership,tiki,6.000,9.000,150.00,150.00,75.69
EMP100130,Technology,Brand Executive,III,Personality,disc_word,null,null,0.00,0.00,75.69
EMP100131,Commercial,HRBP,V,Cognitive Ability,iq,109.000,102.000,93.58,93.58,42.30
EMP100131,Commercial,HRBP,V,Leadership,tiki,6.000,2.000,33.33,33.33,42.30
EMP100131,Commercial,HRBP,V,Personality,disc_word,null,null,0.00,0.00,42.30
EMP100132,HR & Corp Affairs,Data Analyst,V,Cognitive Ability,iq,109.000,118.000,108.26,108.26,80.53
EMP100132,HR & Corp Affairs,Data Analyst,V,Leadership,tiki,6.000,8.000,133.33,133.33,80.53
EMP100132,HR & Corp Affairs,Data Analyst,V,Personality,disc_word,null,null,0.00,0.00,80.53
EMP100134,HR & Corp Affairs,Sales Supervisor,III,Cognitive Ability,iq,109.000,119.000,109.17,109.17,69.72
EMP100134,HR & Corp Affairs,Sales Supervisor,III,Leadership,tiki,6.000,6.000,100.00,100.00,69.72
EMP100134,HR & Corp Affairs,Sales Supervisor,III,Personality,disc_word,null,null,0.00,0.00,69.72
EMP100135,Technology,HRBP,III,Cognitive Ability,iq,109.000,113.000,103.67,103.67,106.78
EMP100135,Technology,HRBP,III,Leadership,tiki,6.000,7.000,116.67,116.67,106.78
EMP100135,Technology,HRBP,III,Personality,disc_word,null,null,100.00,100.00,106.78
EMP100136,Commercial,Data Analyst,III,Cognitive Ability,iq,109.000,131.000,120.18,120.18,95.62
